CouncilDistrict,year,Month,not_cleared,cleared,other,tba
6,2003,January,79.90,11.27,2.45,6.37
4,2003,January,60.28,30.02,8.13,1.57
2,2003,January,64.95,24.47,7.09,3.50
,2003,January,59.35,33.03,5.44,2.18
3,2003,January,60.89,29.16,7.82,2.12
9,2003,January,59.68,33.33,5.24,1.75
7,2003,January,71.47,20.44,4.88,3.21
1,2003,January,56.05,27.54,14.45,1.95
5,2003,January,71.91,17.98,8.19,1.93
8,2003,January,70.38,15.95,7.59,6.08
1,2003,February,51.86,26.71,19.88,1.56
3,2003,February,58.48,31.41,9.46,0.66
10,2003,February,81.15,13.09,4.71,1.05
9,2003,February,61.25,32.44,5.45,0.87
2,2003,February,65.99,23.23,8.50,2.28
4,2003,February,62.11,26.30,10.55,1.04
,2003,February,55.25,36.63,5.94,2.18
5,2003,February,69.40,19.04,9.61,1.96
6,2003,February,81.13,13.21,4.40,1.26
7,2003,February,72.02,19.89,6.68,1.42
8,2003,February,81.54,9.09,6.34,3.03
,2003,March,54.87,37.63,5.25,2.25
4,2003,March,62.07,25.13,10.97,1.83
9,2003,March,64.76,28.67,4.99,1.57
10,2003,March,77.71,14.44,5.31,2.55
7,2003,March,67.15,21.55,8.80,2.50
5,2003,March,69.86,19.42,9.28,1.45
3,2003,March,63.98,26.24,8.17,1.61
8,2003,March,77.36,13.63,6.81,2.20
1,2003,March,56.16,24.35,17.91,1.59
6,2003,March,78.15,13.03,6.72,2.10
3,2003,April,67.99,21.56,9.05,1.41
1,2003,April,59.42,20.99,18.35,1.23
10,2003,April,78.42,13.03,5.34,3.21
7,2003,April,72.62,16.10,8.62,2.66
2,2003,April,68.08,19.17,9.49,3.26
9,2003,April,72.80,20.36,4.99,1.86
5,2003,April,71.72,15.59,11.45,1.24
4,2003,April,64.79,21.43,11.77,2.01
,2003,April,68.05,22.56,7.14,2.26
8,2003,April,73.14,14.15,9.59,3.12
6,2003,April,75.11,14.59,6.87,3.43
4,2003,May,60.94,25.50,8.84,4.72
1,2003,May,62.58,18.75,14.75,3.92
3,2003,May,68.87,20.67,7.39,3.06
,2003,May,65.30,23.52,5.26,5.92
7,2003,May,67.74,19.59,6.68,5.99
5,2003,May,72.96,13.90,8.29,4.85
8,2003,May,75.76,13.97,6.55,3.71
2,2003,May,72.29,16.86,7.89,2.96
9,2003,May,69.67,22.86,4.13,3.34
10,2003,May,73.61,15.96,6.43,3.99
6,2003,May,74.56,14.04,6.14,5.26
3,2003,June,38.74,17.98,5.87,37.41
4,2003,June,33.31,20.74,9.79,36.15
9,2003,June,38.62,16.34,4.43,40.61
1,2003,June,37.70,17.98,11.61,32.72
7,2003,June,37.77,13.94,6.34,41.95
2,2003,June,42.15,16.30,6.06,35.49
5,2003,June,40.11,12.09,7.55,40.25
10,2003,June,35.84,11.95,8.41,43.81
,2003,June,32.53,20.29,4.51,42.67
6,2003,June,43.88,9.28,4.64,42.19
8,2003,June,38.71,12.04,4.30,44.95
4,2003,July,10.64,23.57,8.67,57.12
1,2003,July,13.46,23.13,12.23,51.19
,2003,July,9.87,28.04,3.86,58.23
7,2003,July,9.72,16.54,7.45,66.29
3,2003,July,13.72,20.58,6.60,59.10
2,2003,July,16.36,19.32,6.84,57.49
5,2003,July,18.41,13.03,8.36,60.20
9,2003,July,10.01,24.06,5.27,60.66
6,2003,July,13.73,15.45,5.15,65.67
8,2003,July,13.17,10.71,7.14,68.97
10,2003,July,11.16,14.35,6.15,68.34
10,2003,January,76.97,17.48,3.84,1.71
2,2003,March,65.85,23.36,8.93,1.86
7,2003,August,12.56,15.52,6.28,65.64
9,2003,August,9.99,22.84,5.06,62.10
2,2003,August,19.85,18.80,6.93,54.41
4,2003,August,9.64,24.07,7.73,58.55
3,2003,August,12.88,25.76,6.29,55.08
,2003,August,8.26,29.56,4.39,57.79
8,2003,August,14.74,14.54,3.78,66.93
1,2003,August,12.91,26.09,11.23,49.77
5,2003,August,16.92,13.76,7.84,61.49
10,2003,August,12.00,10.53,5.05,72.42
6,2003,August,12.50,16.94,4.84,65.73
4,2003,September,8.76,22.13,6.53,62.58
9,2003,September,7.58,25.11,4.97,62.33
3,2003,September,12.84,23.49,5.74,57.93
7,2003,September,9.70,14.49,5.06,70.75
5,2003,September,14.87,16.79,4.86,63.48
8,2003,September,11.49,16.14,4.89,67.48
2,2003,September,16.33,19.29,6.63,57.76
,2003,September,8.81,32.16,3.96,55.07
10,2003,September,10.96,11.84,5.48,71.71
1,2003,September,11.28,27.69,9.98,51.04
6,2003,September,14.57,14.17,2.83,68.42
3,2003,October,13.66,26.10,4.65,55.59
9,2003,October,8.75,26.91,4.01,60.33
2,2003,October,18.10,21.14,5.88,54.88
1,2003,October,17.73,28.83,9.49,43.96
4,2003,October,10.61,22.76,6.74,59.89
10,2003,October,10.77,13.21,4.67,71.34
7,2003,October,10.21,15.01,4.79,69.99
,2003,October,11.19,30.73,3.91,54.17
6,2003,October,11.21,16.36,3.74,68.69
8,2003,October,12.14,15.76,4.39,67.70
5,2003,October,16.89,17.17,4.50,61.44
