year,Month,crimes
2003,January,10131
2003,February,8765
2004,April,10227
2003,March,10671
2003,April,11144
2003,August,10972
2003,May,11426
2003,June,10556
2003,July,10802
2003,September,10684
2003,November,9675
2003,October,10863
2004,March,10649
2003,December,9951
2004,January,9968
2004,February,9056
2004,November,9649
2004,May,10316
2004,August,11073
2005,May,11576
2004,June,10184
2004,July,11239
2004,September,10842
2004,October,11350
2004,December,10238
2005,January,10659
2005,February,9548
2005,November,10794
2005,March,10799
2005,April,11060
2005,June,11132
2006,June,11527
2005,July,11644
2005,August,11820
2005,September,11565
2005,October,11905
2005,December,10564
2006,January,11176
2006,May,11839
2006,March,11005
2006,February,9546
2006,April,11127
2006,August,11937
2006,July,12111
2006,September,11532
2006,October,11670
2006,December,10469
2006,November,10811
2007,January,10404
2007,December,11655
2007,March,11289
2007,May,12754
2007,February,10110
2007,April,11397
2007,June,12265
2007,November,11333
2007,July,12868
2008,May,13211
2007,August,13345
2007,September,12692
2007,October,12362
2008,January,12108
2008,March,11964
2008,February,11490
2008,August,13520
2008,June,12428
2008,April,12804
2008,July,12739
2008,December,11618
2008,September,13095
2008,October,12809
2008,November,11568
2009,January,12277
2009,June,12172
2009,February,11273
2009,April,12563
2009,March,12830
2009,May,12920
2010,April,12164
2009,July,13013
2009,August,13101
2009,September,11963
2009,October,12099
2009,December,11078
2009,November,11288
2010,January,11003
2010,February,9860
2010,May,12789
2010,March,12014
2011,April,11650
2010,June,12087
2010,July,12867
2010,August,13025
2010,September,11663
2010,October,11962
2010,November,11031
2010,December,11570
2011,January,11523
2011,February,9716
2011,March,11726
2012,May,11698
2012,April,10857
2011,May,11673
2011,July,11564
2011,December,10069
2011,June,11040
2011,August,11300
2011,September,10835
2011,October,11161
2011,November,10163
2012,January,10868
2012,February,9643
2012,March,11253
2012,September,10968
2012,August,11487
2012,June,11342
2013,May,11587
2013,April,10719
2012,July,11587
2012,December,10144
2012,October,10837
2012,November,10355
2013,January,10421
2013,March,10992
2013,February,9480
2013,June,10810
2013,August,10991
2013,July,10884
2013,September,10275
2013,October,10850
2013,November,9679
2014,February,8531
2013,December,9733
2014,January,9739
2014,April,9910
2014,March,10208
2014,October,10311
2014,December,9157
2014,May,10370
2014,June,9924
2014,July,10356
2015,September,9317
2014,August,10425
2014,September,9630
2014,November,9003
2015,January,9149
2015,November,8764
2015,February,8593
2015,March,9822
2015,April,9656
2015,May,9808
2015,June,9738
2015,July,10066
2015,August,9898
2015,October,9244
2017,January,9165
2015,December,9142
2016,January,9387
2016,February,8690
2016,April,9350
2016,March,9482
2016,July,9175
2016,June,9186
2016,May,9244
2016,December,8831
2016,August,9219
2016,September,9020
2016,October,9149
2016,November,8568
2018,May,8405
2017,February,8196
2017,March,9437
2017,May,9402
2017,April,9165
2017,August,8675
2017,June,9109
2017,July,9644
2017,October,8700
2017,September,8510
2017,November,8028
2017,December,7895
2018,January,7916
2018,February,7326
2018,September,8327
2018,March,8521
2018,April,8192
2018,June,8479
2019,September,8657
2018,August,8635
2018,July,8480
2018,October,8671
2018,November,8245
2018,December,8269
2019,January,8319
2019,April,8198
2019,February,7669
2019,November,8579
2019,March,8744
2019,May,9148
2019,June,8669
2019,July,9162
2019,August,9220
2019,October,9120
2019,December,8641
2020,January,8719
2020,February,8283
2021,January,7953
2021,February,6777
2020,March,8529
2020,April,7575
2020,May,8650
2020,June,7804
2020,July,8155
2020,August,8518
2020,November,8568
2020,September,8301
2020,October,8265
2020,December,8326
2021,June,7525
2021,December,7611
2021,March,8635
2021,April,8031
2021,October,8009
2022,August,7511
2021,May,7772
2021,July,7851
2021,August,7565
2021,September,7415
2021,November,7243
2022,January,7310
2022,February,6714
2022,March,7796
2022,April,7275
2022,May,7483
2022,June,7843
2022,July,7876
2022,September,7646
2022,December,7123
2022,October,7691
2024,January,7037
2022,November,6602
2023,January,7274
2023,February,6889
2023,March,7795
2023,April,6908
2023,May,7384
2023,June,7399
2023,July,7570
2023,August,7379
2023,December,7345
2023,September,7144
2023,October,7682
2023,November,6966
2024,July,7557
2024,February,7002
2024,June,7131
2024,May,7785
2024,March,7543
2024,April,7263
2024,August,7298
2025,February,6222
2024,September,6751
2024,October,7477
2024,November,6844
2024,December,6889
2025,January,6900
2025,March,7392
2025,April,987
